ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
ham,"Probably gonna be here for a while, see you later tonight &lt;)"
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
ham,"I am in tirupur da, once you started from office call me."
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
ham,But am going to college pa. What to do. are else ill come there it self. Pa.
ham,4 oclock at mine. Just to bash out a flat plan.
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
ham,Then any special there?
ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
ham,"Sorry that took so long, omw now"
ham,Wait  &lt;#&gt;  min..
ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
ham,"Hurry up, I've been weed-deficient for like three days"
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
ham,I??öll have a look at the frying pan in case it??ös cheap or a book perhaps. No that??ös silly a frying pan isn??öt likely to be a book
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays
ham,Having lunch:)you are not in online?why?
ham,I know that my friend already told that.
ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. "
ham,Hi msg me:)i'm in office..
ham,Thanx 4 e brownie it's v nice...
ham,Geeeee ... I love you so much I can barely stand it
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a †œ1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm 
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
ham,WOT U WANNA DO THEN MISSY?
ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
ham,Do you know where my lab goggles went
ham,Can you open the door?
ham,Waiting for your call.
ham,Nope i waiting in sch 4 daddy... 
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
ham,?? wait 4 me in sch i finish ard 5..
spam,"our mobile number has won †œ5000, to claim calls us back or ring the claims hot line on 09050005321."
ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
ham,Huh so early.. Then ?_ having dinner outside izzit?
ham,Ok anyway no need to change with what you said
spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
ham,my ex-wife was not able to have kids. Do you want kids one day?
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
ham,Tell them u have a headache and just want to use 1 hour of sick time.
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... "
ham,"\Pete can you please ring meive hardly gotany credit\"""""
ham,Ya srsly better than yi tho
ham,"I'm in a meeting, call me later at"
spam,"For ur chance to win a †œ250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
ham,You still at grand prix?
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
ham,I am great! How are you?
ham,Gud mrng dear have a nice day
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
